codigo_da_mantenedora,name,cnpj,nome_da_mantenedora,natureza_juridica_da_mantenedora,codigo_da_ies,sigla_da_ies,categoria_administrativa_da_ies,organizacao_academica_da_ies,sistema_de_ensino_da_ies,ies_comunitaria_sn,ies_confessional_sn,ies_filantropica_sn,logradouro,cep,codigo_do_municipio_ibge,municipio,uf,telefone,fax,e_mail,site,representante_legal,conceito_institucional_ci,ano_do_ci,indice_geral_de_cursos_igc,ano_do_igc,ato_de_credenciamento,data_do_ato_de_credenciamento,ato_de_recredenciamento,data_do_ato_de_recredenciamento
407,FACULDADE CENECISTA DE RONDONÓPOLIS,33.621.384/0001-19,CAMPANHA NACIONAL DE ESCOLAS DA COMUNIDADE,Privada sem fins lucrativos,3001,FACER,PRIVADA SEM FINS LUCRATIVOS,FACULDADE,F,N,N,,"AVENIDA SHOTERO SILVA, 429, VILA AURORA",78700000,5107602,RONDONÓPOLIS,MT,(66) 3422 0120,(66) 3422 3802,cnec.facer@terra.com.br;ensinosuperior@cnec.br,www.cnecfacer.com.br,ALEXANDRE JOSÉ DOS SANTOS,2,2009,0,2013,2.783,10/9/2004,,
407,FACULDADE CENECISTA DE SETE LAGOAS,33.621.384/0001-19,CAMPANHA NACIONAL DE ESCOLAS DA COMUNIDADE,Privada sem fins lucrativos,1655,FCSL,PRIVADA SEM FINS LUCRATIVOS,FACULDADE,F,N,N,,"RUA PEDRO GABRIEL DE LIMA, 20, JARDIM ARIZONA",35700377,3167202,SETE LAGOAS,MG,(31) 3779 2270,(31) 3779 2273,ensinosuperior@cnec.br; 0016.direcao@cnec.br,fcsl.cnec.br,ALEXANDRE JOSÉ DOS SANTOS,3,2009,3,2018,606,30/3/2001,178 de 03/02/2017,6/2/2017
407,FACULDADE CENECISTA DE VILA VELHA,33.621.384/0001-19,CAMPANHA NACIONAL DE ESCOLAS DA COMUNIDADE,Privada sem fins lucrativos,1467,FACEVV,PRIVADA SEM FINS LUCRATIVOS,FACULDADE,F,N,N,,"AVENIDA VITÓRIA RÉGIA, 2950, IBES",29108660,3205200,VILA VELHA,ES,(27) 3329 9838,(27) 33291286,vladimir.bernardi@cnec.br,www.facevv.cnec.br,ALEXANDRE JOSÉ DOS SANTOS,1,2017,3,2017,358/2000,24/3/2000,,
12579,FACULDADE CENSUPEG,10.158.686/0001-05,"SOCIEDADE DE EDUCACAO, CULTURA E TECNOLOGIA SAO FIDELIS LTDA - EPP",Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,22578,,PRIVADA COM FINS LUCRATIVOS,FACULDADE,F,N,N,N,"RUA DO PRÍNCIPE, 796, CENSUPEG JOINVILLE-SC, CENTRO",89201001,4209102,JOINVILLE,SC,4730326150/47991245153,,patricia@censupeg.com.br,www.censupeg.com.br,SANDRO ALBINO ALBANO,,,,,,,,
1118,FACULDADE CENTRAL DE CRISTALINA,03.110.303/0001-55,SOCIEDADE CENTRAL DE ENSINO SUPERIOR - EPP,Privada com fins lucrativos,1696,FACEC,PRIVADA COM FINS LUCRATIVOS,FACULDADE,F,N,N,,"RUA GETÚLIO VARGAS, 1.478, CENTRO",73850000,5206206,CRISTALINA,GO,(61) 3612 6063,(61) 3612 5824,facec@brturbo.com.br,facec.edu.br,NADIA COZAC,3,2019,3,2018,559,26/3/2001,1823 de 21/10/2019.,23/10/2019
17074,FACULDADE CENTRAL DO RECIFE CENTRO,29.644.327/0001-88,CENTRO DE ESTUDOS ACADEMICOS DO RECIFE EIRELI,Privada com fins lucrativos,23191,FACENTRAL REC,PRIVADA COM FINS LUCRATIVOS,FACULDADE,F,N,N,N,"RUA VELHA, 34 A, BOA VISTA",50060210,2611606,RECIFE,PE,,,leonidasalbuquerque@hotmail.com,,FREDERICO DE MELO CAHU BELFORT,4,2019,,,1575 de 10/09/2019.,12/9/2019,,
2891,FACULDADE CENTRO MATO-GROSSENSE,01.392.802/0001-57,FUNDACAO EDUCACIONAL CLAUDINO FRANCIO,Privada sem fins lucrativos,4567,,PRIVADA SEM FINS LUCRATIVOS,FACULDADE,F,N,N,,"RUA RUI BARBOSA, 380, CENTRO",78890000,5107925,SORRISO,MT,(66)3544-0649,(66)3544-3312,secretaria@facem.com.br,www.facem.com.br,ANTONIO ORLANDO GEMMI,3,2018,3,2018,1.048,9/11/2007,628 de 22/07/2014,23/7/2014
16556,FACULDADE CENTRO OESTE CATANDUVAS,82.921.594/0001-38,CENTRO EDUCACIONAL AGUAS CLARAS LTDA,Privada com fins lucrativos,21362,FACOC,PRIVADA COM FINS LUCRATIVOS,FACULDADE,F,N,N,,"AV. ALMIRANTE TAMANDARÉ, 2327, CENTRO",89670000,4204004,CATANDUVAS,SC,(48) 999420112,,eccbortolon@terra.com.br,www.facoc.edu.br,SERGIO LUIZ BORTOLON,3,2017,,,1446 de 14/11/2017,16/11/2017,,
16134,FACULDADE CENTRO PAULISTANO,19.347.410/0001-31,UNIESP S.A,Privada com fins lucrativos,4681,,PRIVADA SEM FINS LUCRATIVOS,FACULDADE,F,N,N,,"RUA DAVID EID, 241, INTERLAGOS",4438000,3550308,SÃO PAULO,SP,(11) 2173.4722,(11) 2173.4722,legis.educ@universidadebrasil.edu.br,www.uniesp.edu.br,CLÁUDIA APARECIDA OLIVEIRA PEREIRA,3,2015,3,2018,1.237,10/10/2008,445 de 11/05/2016,13/5/2016
15960,FACULDADE CEPEP,17.765.161/0001-79,"INSTITUTO DE TECNOLOGIA, EDUCACAO, CULTURA E CIENCIA - ITECCI",Privada sem fins lucrativos,18167,,PRIVADA SEM FINS LUCRATIVOS,FACULDADE,F,N,N,,"RUA GENERAL SAMPAIO, 1746, LOTE 2, CENTRO",60035110,2304400,FORTALEZA,CE,,,,,FRANCISCO UBIRATAN BEZERRA GURJAO,3,2019,,,181 de 06/04/2016,6/4/2016,,
1533,FACULDADE CERES,03.539.801/0001-18,ANBAR ENSINO TECNICO E SUPERIOR LTDA,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,3533,FACERES,PRIVADA COM FINS LUCRATIVOS,FACULDADE,F,N,N,,"AVENIDA ANÍSIO HADDAD, 6.751, JARDIM MORUMBI",15093000,3549805,SÃO JOSÉ DO RIO PRETO,SP,(17) 3201 8200,(17) 3201 8200,mantenedor@faceres.com.br,www.faceres.com.br,TOUFIC ANBAR NETO,4,2012,3,2018,3.778,27/10/2005,147 de 03/02/2017,6/2/2017
16659,FACULDADE CERRADO,24.435.895/0001-55,FACULDADE CERRADO EIRELI - ME,Privada com fins lucrativos,21672,FACE,PRIVADA COM FINS LUCRATIVOS,FACULDADE,F,N,N,,"QUADRA CSE 6, 32, TAGUATINGA SUL (TAGUATINGA)",72025065,5300108,BRASÍLIA,DF,(61) 35418247,,faculdadecerrado@gmail.com,www.faculdadecerrado.com.br,MARIA IZABEL NUNES,3,2017,,,1562 de 19/12/2017,20/12/2017,,
16797,FACULDADE CERS,08.403.264/0001-06,COMPLEXO DE ENSINO RENATO SARAIVA LTDA,Privada com fins lucrativos,17091,CERS,PRIVADA SEM FINS LUCRATIVOS,FACULDADE,F,N,N,,"AVENIDA RUI BARBOSA, 57, - ATÉ 895/896, GRAÇAS",52011040,2611606,RECIFE,PE,81-33275768,,guilherme@cers.com.br; denise.tank@icloud.com,,JORGE RENATO MONTANDON SARAIVA,4,2020,,,425 de 28/04/2015,29/4/2015,,
16797,FACULDADE CERS,08.403.264/0001-06,COMPLEXO DE ENSINO RENATO SARAIVA LTDA,Privada com fins lucrativos,22028,CERS,PRIVADA COM FINS LUCRATIVOS,FACULDADE,F,N,N,N,"RUA BELA CINTRA, 952, - DE 588 A 1240 - LADO PAR, CONSOLAÇÃO",1415002,3550308,SÃO PAULO,SP,81-33275768,,guilherme@cers.com.br; denise.tank@icloud.com,,JORGE RENATO MONTANDON SARAIVA,5,2018,,,1368 de 12/07/2019.,16/7/2019,,
16845,FACULDADE CESAR,01.203.327/0001-23,CESAR CENTRO DE ESTUDOS E SISTEMAS AVANCADOS DO RECIFE,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,19327,FCE,PRIVADA SEM FINS LUCRATIVOS,FACULDADE,F,N,N,,"RUA DO BRUM, 77, RECIFE",50030260,2611606,RECIFE,PE,81 34196700,,contato@cesar.school,www.cesar.school,GEBER LISBOA RAMALHO,3,2015,,,750 de 20/07/2016,21/7/2016,,
15800,FACULDADE CESGRANRIO,42.270.181/0001-16,FUNDACAO CESGRANRIO,Privada sem fins lucrativos,17738,FACESGRANRIO,PRIVADA SEM FINS LUCRATIVOS,FACULDADE,F,N,N,,"RUA SANTA ALEXANDRINA, 1011, - ATÉ 1129 - LADO ÍMPAR, RIO COMPRIDO",20261235,3304557,RIO DE JANEIRO,RJ,21 3505-9600,21 3505-9828,presidencia@cesgranrio.org.br; pagomes@cesgranrio.org.br,http://faculdade.cesgranrio.org.br,CARLOS ALBERTO SERPA DE OLIVEIRA,4,2015,4,2018,639 de 18/07/2016,19/7/2016,,
16616,FACULDADE CESMA DE MARACANAÚ,19.059.424/0001-50,CESMA - CENTRO DE ENSINO SUPERIOR DE MARACANAU EIRELI - ME,Privada com fins lucrativos,21716,FACESMA,PRIVADA COM FINS LUCRATIVOS,FACULDADE,F,N,N,,"RUA PEDRO CAETANO DE PAIVA, 118, PAJUÇARA",61932450,2307650,MARACANAÚ,CE,85.999268008,,,,MAYARA CESARINA GOMES DE SOUSA,3,2018,,,8,15/1/2019,,
404,FACULDADE CESMAC DO AGRESTE,12.207.742/0001-71,FUNDACAO EDUCACIONAL JAYME DE ALTAVILA-FEJAL,Privada sem fins lucrativos,17226,CESMAC Agreste,PRIVADA SEM FINS LUCRATIVOS,FACULDADE,F,N,N,,"RUA PROFESSOR DOMINGOS CORREIA, 1207, CESMAC AGRESTE, OURO PRETO",57301100,2700300,ARAPIRACA,AL,(82)3530.0155,(82)3530.0155,emec@cesmac.edu.br,www.cesmac.com.br,JOAO RODRIGUES SAMPAIO FILHO,3,2015,3,2018,298,7/4/2011,1201 de 26/10/2016,28/10/2016
404,FACULDADE CESMAC DO SERTÃO,12.207.742/0001-71,FUNDACAO EDUCACIONAL JAYME DE ALTAVILA-FEJAL,Privada sem fins lucrativos,17224,CESMAC Sertão,PRIVADA SEM FINS LUCRATIVOS,FACULDADE,F,N,N,,"RUA BRÁULIO MONTENEGRO, DE 285/286 AO FIM, VILA MARIA",57607520,2706307,PALMEIRA DOS ÍNDIOS,AL,(82)3421.3680,(82)3421.3680,emec@cesmac.edu.br,www.cesmac.edu.br,JOAO RODRIGUES SAMPAIO FILHO,3,2015,3,2018,,,1291 de 17/11/2016,18/11/2016
560,FACULDADE CESUMAR,79.265.617/0001-99,CESUMAR - CENTRO DE ENSINO SUPERIOR DE MARINGA LTDA,Privada com fins lucrativos,14403,CESUMAR,PRIVADA COM FINS LUCRATIVOS,FACULDADE,F,N,N,,"RUA ITAJUBÁ, 673, UNIDADE ITAJUBÁ, BAIRRO PORTÃO",81070190,4106902,CURITIBA,PR,44 3027-6385 - RAMAL 1109 - (44) 3027-6360,41 3042-7520,normas@unicesumar.edu.br; daniela.fiorini@unicesumar.edu.br;fabiana.silva@unicesumar.edu.br,www.unicesumar.edu.br,CLAUDIO FERDINANDI,4,2017,4,2018,574 de 13/05/2011,16/5/2011,958,17/9/2018
16427,FACULDADE CESUMAR DE CAMPO GRANDE,10.384.526/0001-76,PL ADMINISTRACAO E PARTICIPACOES LTDA,Privada com fins lucrativos,22095,FACCESUMAR,PRIVADA COM FINS LUCRATIVOS,FACULDADE,F,N,N,,"RUA EUCLIDES DA CUNHA, 1216, - DE 229/230 A 1289/1290, JARDIM DOS ESTADOS",79020230,5002704,CAMPO GRANDE,MS,4430276360 ramal 1109,,normas@unicesumar.edu.br;daniela.fiorini@unicesumar.edu.br;fabiana.silva@unicesumar.edu.br;,,WILSON DE MATOS SILVA,4,2018,,,7,15/1/2019,,
560,FACULDADE CESUMAR DE GUARAPUAVA,79.265.617/0001-99,CESUMAR - CENTRO DE ENSINO SUPERIOR DE MARINGA LTDA,Privada com fins lucrativos,18153,FAC-CESUMAR,PRIVADA COM FINS LUCRATIVOS,FACULDADE,F,N,N,,"RUA QUINZE DE NOVEMBRO, 6198, - DE 5490/5491 A 6799/6800, ALTO DA XV",85065000,4109401,GUARAPUAVA,PR,(44) 3027 6385 - RAMAL 1109 - (44) 3027 6360,,normas@unicesumar.edu.br;daniela.fiorini@unicesumar.edu.br;fabiana.silva@unicesumar.edu.br,,CLAUDIO FERDINANDI,4,2018,,,6,15/1/2019,,
560,FACULDADE CESUMAR DE LONDRINA,79.265.617/0001-99,CESUMAR - CENTRO DE ENSINO SUPERIOR DE MARINGA LTDA,Privada com fins lucrativos,17632,FAC-CESUMAR,PRIVADA COM FINS LUCRATIVOS,FACULDADE,F,N,N,,"AVENIDA SANTA MÔNICA, 450, - ATÉ 701/702, FRANCA",86027610,4113700,LONDRINA,PR,44 3027-6360 (Ramal 1109),,normas@unicesumar.edu.br;daniela.fiorini@unicesumar.edu.br;fabiana.silva@unicesumar.edu.br,,CLAUDIO FERDINANDI,4,2013,4,2018,655 de 18/07/2016,19/7/2016,,
560,FACULDADE CESUMAR DE MARINGÁ,79.265.617/0001-99,CESUMAR - CENTRO DE ENSINO SUPERIOR DE MARINGA LTDA,Privada com fins lucrativos,18149,FAC-CESUMAR,PRIVADA COM FINS LUCRATIVOS,FACULDADE,F,N,N,,"AVENIDA GUEDNER, 1610, - ATÉ 1935/1936, ZONA 08",87050390,4115200,MARINGÁ,PR,44 3027-6360 - RAMAL 1109 - (44) 3027 6385,,normas@unicesumar.edu.br;daniela.fiorini@unicesumar.edu.br;fabiana.silva@unicesumar.edu.br,,CLAUDIO FERDINANDI,4,2014,,,647 de 18/07/2016,19/7/2016,,
560,FACULDADE CESUMAR DE PONTA GROSSA,79.265.617/0001-99,CESUMAR - CENTRO DE ENSINO SUPERIOR DE MARINGA LTDA,Privada com fins lucrativos,17420,FAC-CESUMAR,PRIVADA COM FINS LUCRATIVOS,FACULDADE,F,N,N,,"RUA DESEMBARGADOR WESTPHALEM, 60, OFICINAS",84036350,4119905,PONTA GROSSA,PR,044-30276360,4430276360,normas@cesumar.br;daniela.fiorini@unicesumar.edu.br;fabiana.silva@unicesumar.edu.br,,CLAUDIO FERDINANDI,4,2013,4,2018,40 de 28/01/2015,12/2/2015,,
16446,FACULDADE CESURG MARAU,21.998.727/0001-80,SOCIEDADE EDUCACIONAL MARAU LTDA,Privada com fins lucrativos,15351,,PRIVADA COM FINS LUCRATIVOS,FACULDADE,F,N,N,,"RUA JÚLIO BORELLA, 3553, CAMPUS PRINCIPAL, CENTRO",99150000,4311809,MARAU,RS,(054) 3342-4276,(054) 3342-4276,secretaria1.marau@cesurg.com,www.cesurgmarau.com.br,LEANDRO PALUDO,3,2017,3,2018,139 de 27/02/2013,28/2/2013,1355 de 12/07/2019.,16/7/2019
973,FACULDADE CESUSC,02.984.294/0001-69,CESUSC - COMPLEXO DE ENSINO SUPERIOR DE SANTA CATARINA LTDA,Privada com fins lucrativos,1469,,PRIVADA COM FINS LUCRATIVOS,FACULDADE,F,N,N,,"RODOVIA SC 401, KM 10, S/N, CAMPUS  - FLORIANÓPOLIS - SANTO ANTÔNIO DE LISBOA, SANTO ANTÔNIO DE LISBOA",88050001,4205407,FLORIANÓPOLIS,SC,(48) 3239 2606,(48) 3239 2600,naira.amaral@cesusc.edu.br;direcao@cesusc.edu.br;,www.cesusc.edu.br,MAURICIO PEREIRA GOMES,4,2018,4,2018,109,11/2/2000,1271 de 29/11/2018.,30/11/2018
17033,FACULDADE CETRUS,00.395.788/0001-82,CETRUS - DIAGNOSTICO LTDA.,Privada com fins lucrativos,23022,CETRUS,PRIVADA COM FINS LUCRATIVOS,FACULDADE,F,N,N,N,"AVENIDA JABAQUARA, 474, - ATÉ 0620 - LADO PAR, MIRANDÓPOLIS",4046000,3550308,SÃO PAULO,SP,,,claudio@cetrus.com.br;anne.santos@cetrus.com.br,www.cetrus.com.br,SEBASTIAO MARQUES ZANFORLIN FILHO,5,2019,,,1493 de 28/08/2019.,29/8/2019,,
16443,FACULDADE CGESP GOIANIA,11.973.890/0001-34,CGESP CONSULTORIA EDUCACIONAL LTDA,Privada com fins lucrativos,12928,FAC CGESP,PRIVADA COM FINS LUCRATIVOS,FACULDADE,F,N,N,,"AVENIDA A, 490, SETOR OESTE",74335200,5208707,GOIÂNIA,GO,(62) 3639-4006,,cgesp.ensino@gmail.com,www.cgesp.edu.br,MARCELLA AMARAL NUNES,3,2017,3,2018,573 de 13/05/2011,16/5/2011,92 de 06/02/2018,7/2/2018
1246,FACULDADE CHRISTUS,04.102.843/0001-50,IPADE - INSTITUTO PARA O DESENVOLVIMENTO DA EDUCACAO LTDA.,Privada com fins lucrativos,22325,Christus Eusébio,PRIVADA COM FINS LUCRATIVOS,FACULDADE,F,N,N,,"RUA FRANCISCO OLIVEIRA ALMEIDA, 1100, AMADOR",61760000,2304285,EUSÉBIO,CE,85 32658100,,fc@unichristus.edu.br,,JOSE LIMA DE CARVALHO ROCHA,5,2018,,,7,2/4/2019,,
16606,FACULDADE CIDADE DE APARECIDA DE GOIÂNIA,23.888.490/0001-00,SOCIEDADE DE EDUCACAO E CULTURA APARECIDA DE GOIANIA LTDA - ME,Privada com fins lucrativos,21675,FacCidade,PRIVADA COM FINS LUCRATIVOS,FACULDADE,F,N,N,,"AVENIDA CHILE - QUADRA 41, 10, JARDIM BELO HORIZONTE",74976030,5201405,APARECIDA DE GOIÂNIA,GO,62 992517281,,fatima.naves@faccidade.edu.br,www.faccidade.edu.br,FATIMA ROSA NAVES DE OLIVEIRA SANTOS,3,2017,,,1426 de 09/11/2017,10/11/2017,,
1052,FACULDADE CIDADE DE COROMANDEL,03.327.571/0001-23,ASSOCIACAO EDUCACIONAL DE COROMANDEL - AEC,Privada sem fins lucrativos,1601,FCC,PRIVADA SEM FINS LUCRATIVOS,FACULDADE,F,N,N,,"AVENIDA ADOLFO TIMÓTEO DA SILVA, 433, BRASIL NOVO",38550000,3119302,COROMANDEL,MG,(34) 3841 3405,(34) 3841 3408,projetos@fcc.edu.br,www.fcc.edu.br,ANA ALICE FERREIRA DE SOUSA,4,2018,3,2018,2.076,26/12/2000,2106 de 05/12/2019.,6/12/2019
1590,FACULDADE CIDADE DE JOÃO PINHEIRO,03.289.019/0001-98,ASSOCIACAO EDUCACIONAL DE JOAO PINHEIRO,Privada sem fins lucrativos,2440,FCJP,PRIVADA SEM FINS LUCRATIVOS,FACULDADE,F,N,N,,"AVENIDA ZICO DORNELAS, 380, SANTA CRUZ II",38770000,3136306,JOÃO PINHEIRO,MG,(38) 3561 3900,(38) 3561 3900,direcao.projetos@fcjp.edu.br,www.fcjp.edu.br,PAULO CESAR DE SOUSA,3,2015,3,2018,522,28/2/2002,1290 de 17/11/2016,18/11/2016
1891,FACULDADE CIDADE DE PATOS DE MINAS,03.238.898/0001-29,ASSOCIACAO EDUCACIONAL DE PATOS DE MINAS - AEPM,Privada sem fins lucrativos,2915,FPM,PRIVADA SEM FINS LUCRATIVOS,FACULDADE,F,N,N,,"AVENIDA JUSCELINO KUBITSCHEK DE OLIVEIRA, 1200, UNIDADE JK, CIDADE NOVA",38706401,3148004,PATOS DE MINAS,MG,(34) 3818 2300,(34) 3818 2300,direcao.projetos@faculdadepatosdeminas.edu.br,www.faculdadepatosdeminas.edu.br,PAULO CESAR DE SOUSA,3,2018,2,2018,1.554,9/5/2005,1469 de 07/10/2011,10/10/2011
16134,FACULDADE CIDADE LUZ,19.347.410/0001-31,UNIESP S.A,Privada com fins lucrativos,2039,FACILUZ,PRIVADA COM FINS LUCRATIVOS,FACULDADE,F,N,N,,"ALAMEDA BAHIA, 490D, CENTRO",15385000,3520442,ILHA SOLTEIRA,SP,(18) 3743 3905,(18) 3743 3906,legis.educ@universidadebrasil.edu.br,www.faciluz.com.br,CLÁUDIA APARECIDA OLIVEIRA PEREIRA,3,2012,3,2018,2.884,14/10/2003,896 de 01/09/2015,2/9/2015
2351,FACULDADE CIÊNCIAS DA VIDA,03.688.792/0001-27,CENTRO DE ESTUDOS III MILLENIUM LTDA,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,3716,FCV,PRIVADA COM FINS LUCRATIVOS,FACULDADE,F,N,N,,"AVENIDA PREFEITO ALBERTO MOURA, 12632, DISTRITO INDUSTRIAL",35702383,3167202,SETE LAGOAS,MG,(31) 37765150,(31) 3772 3761,valcirfarias@cienciasdavida.com.br,ww.cienciasdavida.com.br,VALCIR MARCILIO FARIAS,3,2012,3,2018,1.695,16/10/2006,199 de 08/04/2015,11/4/2015
780,FACULDADE CLARETIANA DE BRASILIA,44.943.835/0001-50,ACAO EDUCACIONAL CLARETIANA,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,16218,FCB,PRIVADA SEM FINS LUCRATIVOS,FACULDADE,F,N,N,,"ÁREA ESPECIAL PARA IGREJA CATÓLICA - SETOR C, PARTE B, S/N, TAGUATINGA CENTRO",72010070,5300108,BRASÍLIA,DF,(61) 3451-9324,,wander@claretianostellamaris.com.br,www.claretiano.edu.br/taguatinga,LUIS CLAUDIO DE ALMEIDA,4,2013,,,360 de 05/05/2016,6/5/2016,,
780,FACULDADE CLARETIANA DE TEOLOGIA,44.943.835/0001-50,ACAO EDUCACIONAL CLARETIANA,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,4938,,PRIVADA SEM FINS LUCRATIVOS,FACULDADE,F,S,N,,"AVENIDA PRESIDENTE GETÚLIO VARGAS , 1193, REBOUÇAS",80250180,4106902,CURITIBA,PR,(41) 33077729,,secretariacrt@claretiano.edu.br;marciovisconde@yahoo.com.br,www.claretiano.edu.br/curitiba,LUIS CLAUDIO DE ALMEIDA,4,2015,4,2018,MEC/SESu nº 635,17/5/2010,217 de 08/04/2016,11/4/2016
16882,FACULDADE CLEBER LEITE,28.239.880/0001-72,PROFESSOR DR. CLEBER LEITE EDUCACAO E PESQUISA LTDA - ME,Privada com fins lucrativos,22527,FCL,PRIVADA COM FINS LUCRATIVOS,FACULDADE,F,N,N,N,"RUA CORONEL SEABRA, 395, VILA MARINA",9176000,3547809,SANTO ANDRÉ,SP,11 - 43168938,11 - 43168942,contato@faculdadecleberleite.edu.br,http://www.faculdadecleberleite.edu.br,CLEBER APARECIDO LEITE,5,2018,,,1800 de 21/10/2019.,22/10/2019,,
407,FACULDADE CNEC CAMPO LARGO,33.621.384/0001-19,CAMPANHA NACIONAL DE ESCOLAS DA COMUNIDADE,Privada sem fins lucrativos,1417,,PRIVADA SEM FINS LUCRATIVOS,FACULDADE,F,S,N,,"RUA RUI BARBOSA, 541, PRÉDIO ESCOLAR, CENTRO",83601140,4104204,CAMPO LARGO,PR,(41)3116-3300,(41) 3116-3300,0049.marileibulow@cnec.br; 0049.direcao@cnec.br,http://faculdadecampolargo.cnec.br/,ALEXANDRE JOSÉ DOS SANTOS,4,2018,3,2018,1717,7/12/1999,1407 de 27/12/2018.,28/12/2018
407,FACULDADE CNEC DE EDUCAÇÃO DE UBERABA,33.621.384/0001-19,CAMPANHA NACIONAL DE ESCOLAS DA COMUNIDADE,Privada sem fins lucrativos,14383,FACEUB,PRIVADA SEM FINS LUCRATIVOS,FACULDADE,F,N,N,,"RUA FELIPE DOS SANTOS, 286, NOSSA SENHORA DA ABADIA",38025140,3170107,UBERABA,MG,(34)2103-0700,(34)3312-5133,arrudacp@gmail.com,faceub.cnecuberaba.edu.br,ALEXANDRE JOSÉ DOS SANTOS,4,2014,,,1281 de 17/11/2016,18/11/2016,,
407,FACULDADE CNEC FARROUPILHA,33.621.384/0001-19,CAMPANHA NACIONAL DE ESCOLAS DA COMUNIDADE,Privada sem fins lucrativos,631,,PRIVADA SEM FINS LUCRATIVOS,FACULDADE,F,S,N,,"RUA RUA QUATORZE DE JULHO, 339, CENTRO",95170416,4307906,FARROUPILHA,RS,(54) 3268 2288,(54) 3268 2733,1869.rosanedafre@cnec.br,http://ensinosuperior.cnec.br,ALEXANDRE JOSÉ DOS SANTOS,3,2017,4,2018,s/n,31/12/1994,2031 de 21/11/2019.,25/11/2019
407,FACULDADE CNEC GRAVATAÍ,33.621.384/0001-19,CAMPANHA NACIONAL DE ESCOLAS DA COMUNIDADE,Privada sem fins lucrativos,2184,,PRIVADA SEM FINS LUCRATIVOS,FACULDADE,F,S,N,,"AVENIDA DR. JOSÉ LOUREIRO DA SILVA, 1991, CENTRO",94010001,4309209,GRAVATAÍ,RS,(51) 3488 1991,(51) 3488 5595,ensinosuperior@cnec.br,www.facensa.edu.br,ALEXANDRE JOSÉ DOS SANTOS,4,2019,3,2018,1267,26/4/2002,1875 de 29/10/2019.,31/10/2019
407,FACULDADE CNEC ILHA DO GOVERNADOR,33.621.384/0001-19,CAMPANHA NACIONAL DE ESCOLAS DA COMUNIDADE,Privada sem fins lucrativos,1928,,PRIVADA SEM FINS LUCRATIVOS,FACULDADE,F,S,N,,"ESTRADA DO GALEÃO, S/N, JARDIM GUANABARA - ILHA DO GOVERNADOR",21931000,3304557,RIO DE JANEIRO,RJ,(21)39756807 / (21) 99625-2277,(21) 39756805,0347.marcomachado@cnec.br; ceduc.es@cnec.br; 0039.procurador.institucional@cnec.br,faculdadeilhadogovernador.cnec.br,ALEXANDRE JOSÉ DOS SANTOS,3,2013,3,2018,2595,10/12/2001,1477 de 20/12/2016,21/12/2016
407,FACULDADE CNEC ITABORAÍ,33.621.384/0001-19,CAMPANHA NACIONAL DE ESCOLAS DA COMUNIDADE,Privada sem fins lucrativos,1156,,PRIVADA SEM FINS LUCRATIVOS,FACULDADE,F,S,N,,"AVENIDA VINTE E DOIS DE MAIO, 5300, CENTRO",24800065,3301900,ITABORAÍ,RJ,(21) 2635 3512 / 2645-3924 / (21) 99625-2277,(21) 2645 4062, 2023.direcao@cnec.br; ceduc.es@cnec.br,facnec.cnec.br,ALEXANDRE JOSÉ DOS SANTOS,3,2017,3,2018,785,29/7/1998,1448 de 14/11/2017,16/11/2017
407,FACULDADE CNEC ITAJAÍ,33.621.384/0001-19,CAMPANHA NACIONAL DE ESCOLAS DA COMUNIDADE,Privada sem fins lucrativos,1506,,PRIVADA SEM FINS LUCRATIVOS,FACULDADE,F,S,N,,"AVENIDA ADOLFO KONDER, 2000, SÃO VICENTE",88308004,4208203,ITAJAÍ,SC,(47)3248 2421,(47) 3248 2421,cnecifes@cnec.br;ceduc.es@cnec.br,http://faculdadeitajai.cnec.br,ALEXANDRE JOSÉ DOS SANTOS,4,2013,4,2018,673,26/5/2000,85 de 18/01/2017,19/1/2017
407,FACULDADE CNEC JOINVILLE,33.621.384/0001-19,CAMPANHA NACIONAL DE ESCOLAS DA COMUNIDADE,Privada sem fins lucrativos,1530,,PRIVADA SEM FINS LUCRATIVOS,FACULDADE,F,S,N,,"RUA CORONEL FRANCISCO GOMES, 1290, ANITA GARIBALDI",89202250,4209102,JOINVILLE,SC,(47) 3431 0900 R. 930,(47) 3431 0950,0137.simonevenancio@cnec.br; 0137.direcao@cnec.br ,www.fcj.com.br,ALEXANDRE JOSÉ DOS SANTOS,4,2018,3,2018,859*,26/6/2000,1051 de 02/06/2009.,3/6/2009
